Searched Subject header,EbookID,Call Number (leave blank),Title,Author,Publication Year,Subject_Headers,Thumbnail Link (copy image address),Link to Library Record
Consciousness,e001,,"Trauma and its impacts on temporal experience
New perspectives from phenomenology and psychoanalysis","Mezzalira, Selene",2022,"Psychic trauma, Time perception, Consciousness",https://www.syndetics.com/index.php?isbn=100053166X/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7418121.item.7418121-1001?holding=4z8xrtkcbglsff40
Consciousness,e002,,"The evolution of consciousness
Representing the present moment","Droege, Paula",2022,"Consciousness, Cognition",https://www.syndetics.com/index.php?isbn=9781350166813/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7405235.item.7405235-1001?holding=21kc62bmvfw22pyx
Psychoanalysis,e003,,"Wild analysis
From the couch to cultural and political life","Bar-Haim, Shaul, Coles, Elizabeth Sarah, Tyson, Helen",2022,"Psychoanalysis, Psychoanalysis and the humanities, Psychoanalysis and culture,  Social sciences and psychoanalysis",https://www.syndetics.com/index.php?isbn=100045021X/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7397774.item.7397774-1001?holding=1a7rfj7xmu8qqwd3
Psychoanalysis,e004,,"Mutual analysis
Ferenczi, Severn, and the origins of trauma theory","Rudnytsky, Peter L.",2022,"Ferenczi, Sándor, 1873-1933, Severn, Elizabeth, Psychoanalysis",https://www.syndetics.com/index.php?isbn=1315280124/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7402420.item.7402420-1001?holding=w0fh00fwnn13mg8b
Environmental psychology,e005,,"Critical thinking
Learning from mistakes and how to prevent them","Watson, Gerald J. Jr.",2021,"Decision making, Critical thinking, Errors, Task analysis, Environmental psychology",https://www.syndetics.com/index.php?isbn=1000076520/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.126.on1152353389.1?holding=lnwccqdymzevh3st
Environmental psychology,e006,,"Psychology and Rural Contexts
Psychosocial Dialogues from Latin America","Leite, Jáder Ferreira, Editor,
Dimenstein, Magda, Editor,
Dantas, Candida, Editor,
Macedo, Joao Paulo, Editor",2021,"Social psychology, Community psychology, Mental health
Political psychology, Environmental Psychology",https://www.syndetics.com/index.php?isbn=9783030829964/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.121.978-3-030-82996-4.1?holding=7qx1b51n62rtwiqp
Memory,e007,,"Remember
The science of memory and the art of forgetting","Genova, Lisa",2021,"Memory,
Memory — Age factors,
Cognition — Age factors, Human information processing — Age factors,
Brain — Aging,
Aging — Prevention,
Alzheimer's disease — Prevention,
Memory disorders in old age — Prevention",https://www.syndetics.com/index.php?isbn=0593137965/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7269914.item.7269914-1001?holding=5zctl0ili37d2gqi
Memory,e008,,"Cognitive modeling of human memory and learning
A non-invasive brain-computer interfacing approach","Ghosh, Lidia",2021,"Memory,
Brain-computer interfaces,
Cognitive neuroscience",https://www.syndetics.com/index.php?isbn=1119705878/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.81.on1154117989.1?holding=ssyn8nrp8mvgx03c
Expertise,e009,,The neuroscience of expertise,"Bilalic, Merim",2017,"Expertise, Cognitive neuroscience","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAKIAawMBIgACEQEDEQH/xAAbAAACAgMBAAAAAAAAAAAAAAAABQQGAgMHAf/EAD8QAAIBAwICBQkGBAUFAAAAAAECAwAEEQUhEjEGExVBUSIyVWFxgZOi0RQjU5GhsRZSwfAHQlRykjM2grLx/8QAGgEBAQADAQEAAAAAAAAAAAAAAAECAwUEBv/EACoRAAIBAwIGAAYDAAAAAAAAAAABAgMEERJREyExUpHhBRRBQmGxIiMk/9oADAMBAAIRAxEAPwDhtFFbbaRIp0kkjEiKclCedAa8UYNNhqeniMoNGgB28oysTyYf1B/8a1S6hauUMemwx8JJI4s8XPb+vuoBbWQG9NRqmncSE6LAQpyV65wG9uN687SsjEiHSYQQuCyyEFjw4z+e/wC+aFR0yH/ox/7F/alvSr/t+8/2j/2FMmvoIoo4/s/luikY3IGB+9RekGo2kmg3coso3TAPAWO3lA4riU4/2J/k+3uKv+eUcfa/0cpIPhXmD4U17TsuOQnSYSGUgKXPknytxt6x/wAfDasH1GzaSVuy4cOoCjjI4CCTnb2j8q7Z8OLcUYPhTNdStMji0u3OOeGIzuT+W4/KvO0bMcWNMhyeWXJ4dv7NALKK9JzXlAFFFFAFFFFAFZDnWNe5oC+HpbpTwoksN1lQNwi7H/lULVOkWnXGjz2VulxxyKBxOoA2I9fqqoZozXnVtTTyjoy+J15Jp45rHQDXlFFeg5wUUUUAUUUUAVvtDbCbN4srRBTlYmCsTjbcg43x3VorJDwsCQDjfB5GgLpd9GdHTUdUsIXu1lsrE3HWTTLwElI2XkgP+ZgR7PZS9uhWrKbgcMWImZVYMeGQiPrNjjGCuME95AqLP0mvJ76+vHitutvrf7PLhCBwYA232OFFbLzpXfXsM0N1DZyI7K6hoyeqYIEyuT/Ko55G3KgM9L0C21LQHuoZJu0Y5JWFvkcM8UaoX4NshwHzjfIBqRe9DLw3Fw9guLQTSLAZ38pkSURkkgAZyc48M+FQbSbU7TSbS7tkigjtbl5oLgOBKXPApIBO6jCjljx76kaprmrSIftsFsJUuHljl6occLO/GQu+AM7jIOKZKk3zNUfRPUXn6nitw3X3Fvu+3HCgd+7lwnY1n/CF+z8EUtrLIYhMipJ50RkEYkB8MnPs3rM9Mb/r+tFvYhutmmwImALyx9XIfO71AqLH0kvo7RLciBuG3Ft1jR5Ywhg3Vk583I9uNs70IbZuid7byyLdS29ssUqwu9wSgWRs4UgjI2Gc+BB76lfwZe3MdtLZR8MU0ELcUknEC8isw3CjhGEPPltvvWn+KNTu4Vs3htZ7YhI4YJI+JIyCxXhydiC7czjBxyGK1S9Kb6W1W0ngtJbdIoo0ieMkIYwwVhv52GI8D4bChcGa9DtSdIupNvLLILYiJJMsBPjq8/nv4VjZdE7zUGP2G4tbiMNGhkjYkK7syqpwNvMY5OwG9exdLtThIeFbeN1S2RXVDleoOYzzxnb31qTpHMguUSx05be4KM1uIPuwycRVgM5yONu/GDihBLKhjdkYDiViDisKyYg77ZNY0AUUUUAU/wCjOoWlna6hHLIILubquouCnFwBXy6+rIx/xpBXoOKAtvTTW9P1W1s4NLdlhinuHMJQqF4mBDD27n1ZpfPf276gbhJk4BKGH3W7LjBBP986RgZFAz471HHJshUcVhFmhuYI4WukkP2cXkZ3TknCcp/StEeo2SfZwoRYwF4wYyWUgnJHd3+FITkgivKx4aNjuH9EPYdTiLwNNMTwXgkfKZygx9OVe219YrHCsuOJNgVU8PmtuR4gkcuefVSGimhE+YlsSb+cTzl14ccIXKggHAxnfvqLRmvKzNLbbywooooQKKKKAKKKKAaaN2Xwzdql8+T1XBn15Bx7qlAaH1WGBEnDFy4+eF6zO/8Avx7qRZozQDyTsMLZFDLxGWL7UPKwEx5fD7xn34ry4j0NoQIJWR+sXLEMfJ8riA7s+bSTJozQDuVNEMxaFn6jLnhIPHgoCo8NmyKgambc3bG0CCHHk8AIH699Q8nxoyaA8ooooAooooBh2xf/AI/yL9KO2L/8f5F+lL6mabp1zqVx1FpHxPjJJOAo9dTTHY2cWp3M2dr3/wCP8i/Sjti//H+RfpVwsehkVokMt+RNO54erByo9g2zjeosXRe0l6Q3VqqOYYY1fgLEZJyDg+6miOxOLU7mVnti/wDx/kX6UdsX/wDqPkX6VaNS6FoyE6UzdYAG6t3BBB5dwI76p15aT2Vw8FyhSRDgg00R2HFn3Mk9sX/+o+RfpR2xf/j/ACL9KX1kis7BVGWY4A8ammOxeLU7mTu2L/8AH+RfpR2xf/j/ACL9KsukdCHeNptTlVEC54Efl7a29IdBtI7aykjtuqeSZIzwDhABIG4/s1dEdicWp3MqvbF/+P8AIv0o7Yv/AMf5F+lXi56I6Y0fCUEcgAUSIxAOdge8c6qWu9HL3SPKkUSQ5P3i74x4+HOmiOw4tTuZE7Yv/wDUfIv0o7VujuzwsfFreMk+8rS+immOw4tTuZ6OddM6L6aum6TFJ1fFdT8LMp5g5O2/Lauc2cTTXUUcYQsWGA/L311bTlZYyJIC7le7cKccvGqYEyzV2nmaQtkHChiMhOfdtuf2FLooJE1J7ljhWhi37z5bH9iKlqGt440VS0j+SyMwOCQd1/LlS6KSYajJacPk9UqgDyjwjkT69uVEiyk5PLGd4pinXL4bLLkcwpB5+rNVnptYi505b7j4pIlXZdxvz+tP0d7pw84Vo3kKYUb5H1NR9TswlvLsY4pAQ6luJVBGOJf0HvqmJyrFW7oDpsU1xJfXA8mIhYyeWe8/lVSIwSPA4roHRG3ki0+BnRXUkkKvNgfbt4VCljEjyJArxZTjGSGHLORkeHKtGtW0lx1aBhxLNCSWO3ncRre0eJZJpF6n8PfYbd47xzpZq0s6RwXAVY+teMtghjy8kD8/2qgaMoNnlmAA40YH/Nz2x+VQ5oo76ymt55SQyLle/luM+4VsLzswjDKvGHnbiwQT4ZHdvWTWiTwpJ1fC2OLj4iGBPeR4UIcnvoTbXc0Bz93Iy7jfY1Hp10uj4NYdjnjdQZARjDcjSWoUd9EbcXGtwhhkIpfHs/8AtdCadonEQfDMxHWd/LJqgdDLhLfX4WkcIGUrkjbNdFmeOW4MfC5JXiUxjeNser+96kpKEdTM6dOVSSjHqLreUG6ty5/znhGfNHDsD76mKl22qzQosZXgT7xl5AZIGPHNZ6tpDWCJMUk6qRMgyY4sjBz6u8UqXXmjv5FVVZpYNiD5vCDz251hQrRrQ1xM7ihwZ6c5GFlK4R1YB/vJMjwIO+D76kQhXhSLGUBBxnJ4TzzWnTbSW5umjgzxEAhjnYkd48TUqGR4IzHL1ZlR+ryBggd1FWg56E+YlbVI01Ua5HKdftktdWuo4iSnFxDI7jvXR4IhY2kSKMqkfCVPhjnjx2FUjpyE/iGcJjARfN8cd9X2G+im02CWM9YCBjbzhjBB9YzmtmcGpJt4RBuJWkJdmJ4o+I7eceE4A9lSbjrTZWUlthgXTCsO/G2/tqNcvK8rdTD90AGUufN79vpUXU9S7Pi6uMf9O4VwhByTnkPD1+ysYVIz6G+4tKtu0qi6jW4FxbXkZkkDydS75UY3G5H71IVuGdmKKCVVS2OYP6VBimOoN9okUc18nuwVBAGfWd6n2bFZEPWgiRfM4R6wP2/Wszz4Kh/iDaoIbOcKRIMqx8QeVUquif4gSrJokJLLxtP5vfgZ5VzuoDOJzHKrrzU5Fd6/w91fTbmxhvDdRmQAo8Tx4dW22J923jmuBDnTbo/qp068+8Y/Z5BiUYzjwP8AfdXkvbb5mlozg9FvOMZ/z6HXemOpSTakFnfjVVbgES7KOIbkmqHGo7cJZlKlcZI7ifDw7qdR3AuoPtUdxFKqnJCvnbA3NKNMkbU7y6kwFTj4FI/mzy/U1ha05W9FQx0OlWpWteotM/xt9C2aE1xDfxvBMFbzz1hznDYXHtwe/uqf06e30qxbXouBS/kGEbiSQ94/U+6q1ITYAz3rrCqgLxHmoHcMes/rVO6UdIZtZlWFXP2K3J6hCPzJ9daXbzndqrHkiXDpU7WMdScugmubiS6uHnnbikduJjVv6FatCbWXTp5jHJ50Q4ch/VnOxqlVsgleCVZY2KupyCO6ujUhri45OZb1eFUU9jqs0sYD+S3V8J4QP5s4waUdJLd5e4gdaoYNvgknH7mtmj6rY6pC0fWRJI64KPlTxft+ta9Wv+tvrSwgCLIXDSeAxuN/75Vhb03Tjhnq+J3MLitrhnoMrUEQkEgMFw2dsPxDH699bDAGkkZcRsCzIxPmjv8AbWQhQwh3cGELtnltyz+4qo9JNfLR/ZLK5kYcJSQ8PCAv8o8d+dK0ZSwolsa1KlGcp888sCzpNrUmrX2c/cReTGP60mzXpO2K8rcc982FGands6n6QufimjtnVPSF18VqmWZYhu/HsixTyw56qRkzz4TjNbLW+ubRy1vMyE88d9bu2dU9IXXxWo7Z1T0hdfFamWMQ3fj2arrULu8bNzcPJ6idqjZqd2zqnpC6+K1HbOp+kLr4rU5jEN349kGjNTu2dU9IXXxWo7Z1T0hdfFamWMQ3fj2QgxBBBwRyI7qyM0jOHZ2LDkxO9S+2dU9IXXxWo7Z1T0hdfFamWMQ3fj2a5dSvZo+rlupGT+UmoxOdu6pvbOp+kLr4rUds6p6QuvitTLGIbvx7IQxWQTI2YVL7Z1P0hdfFb60dr358644z/M6qxPvIzTmMQ3fj2QKKKKpgFFFFAFFFFAFFFFAFFFFAFFFFAFFFFAf/2Q==",https://search.lib.byu.edu/byu/record/cram.135.CR9781316026847.1?holding=ox06uvj62tl0rm98
Expertise,e010,,"Peak
Secrets from the new science of expertise.","Ericsson, Anders",2016,"Expertise,
Ability,
Performance — Psychological aspects,
Nonfiction,
Self-Improvement",https://img1.od-cdn.com/ImageType-200/0874-1/%7B5B48E06D-2EE2-4FF4-B2B3-BD80E6D8380E%7DImg200.jpg,https://search.lib.byu.edu/byu/record/cat.7123518.item.7123518-1001?holding=37h0bjsm7tpg0f7v
